date,ticker,action,price,size,reason,pnl_pct,target_pct
2024-01-04,BAJFINANCE.NS,BUY,747.6106144641175,6,Golden Cross,,12.334920486465233
2024-01-04,HAVELLS.NS,BUY,1387.3517559134282,3,RHS Breakout,,6.325986292806432
2024-01-04,GODREJCP.NS,BUY,1136.6761276541827,4,CWH Breakout,,16.438209388743953
2024-01-04,SYMPHONY.NS,BUY,903.5188132683118,5,CWH Breakout,,7.549778559130848
2024-01-10,JCHAC.NS,BUY,1253.2046892421067,4,Golden Cross,,15.812213230050684
2024-01-12,RELIANCE.NS,BUY,1349.9087552154863,3,CWH Breakout,,13.483798697968885
2024-01-15,ERIS.NS,BUY,914.806259346112,5,Golden Cross,,14.781245264532004
2024-01-31,TTKPRESTIG.NS,BUY,771.9731794280075,6,Golden Cross,,15.110012120962137
2024-02-05,ICICIGI.NS,BUY,1484.7109463214558,3,Golden Cross,,14.927176160029026
2024-02-05,VGUARD.NS,BUY,312.796654787407,16,Golden Cross,,13.21081173284479
2024-02-28,ICICIGI.NS,SELL,1708.4074186076375,-3,Target Reached (Golden Cross),15.066668218511875,14.927176160029026
2024-02-28,EICHERMOT.NS,BUY,3908.2096558999415,1,Golden Cross,,15.000001791906756
2024-02-29,HAVELLS.NS,SELL,1517.4002881853269,-3,Target Reached (RHS Breakout),9.373868719132094,6.325986292806432
2024-03-01,PIDILITIND.NS,BUY,1351.9263325554937,3,Golden Cross,,14.250442530199859
2024-03-04,ICICIPRULI.NS,BUY,538.2283152232802,9,Golden Cross,,14.989349187186052
2024-03-11,POLYCAB.NS,BUY,4860.3019685931995,1,Golden Cross,,14.55498645345096
2024-03-12,BANKBEES.NS,BUY,484.4800109863281,10,Golden Cross,,14.577485438042306
2024-03-13,NESTLEIND.NS,BUY,1278.276943918957,3,Golden Cross,,14.787280949100436
2024-03-13,AXISBANK.NS,BUY,1094.2196544723279,4,Golden Cross,,15.104925694486832
2024-03-20,HDFCLIFE.NS,BUY,626.1340368615693,7,Golden Cross,,15.45636365652471
2024-03-28,BERGEPAINT.NS,BUY,556.6764738305038,8,Golden Cross,,15.652477723303578
2024-03-28,TITAN.NS,BUY,3736.4920515588933,1,Golden Cross,,14.981647370389883
2024-04-03,HDFCBANK.NS,BUY,716.450076374618,7,Golden Cross,,15.628867276020733
2024-04-03,ICICIPRULI.NS,SELL,621.5315006300657,-9,Target Reached (Golden Cross),15.477295238959648,14.989349187186052
2024-04-08,KOTAKBANK.NS,BUY,1789.7726660761944,2,Golden Cross,,14.44544336628349
2024-04-08,BAJAJFINSV.NS,BUY,1688.1120875949061,3,Golden Cross,,14.180022140427312
2024-04-08,ITC.NS,BUY,406.8009610921631,12,Golden Cross,,14.798626642896313
2024-04-15,RADICO.NS,BUY,1754.3848716479595,2,Golden Cross,,15.565210119941009
2024-04-26,EICHERMOT.NS,SELL,4482.565778520464,-1,Target Reached (Golden Cross),14.69614409640124,15.000001791906756
2024-04-26,LALPATHLAB.NS,BUY,2302.8041274748607,2,Golden Cross,,14.9999913906596
2024-04-26,POLYCAB.NS,SELL,5525.500241929958,-1,Target Reached (Golden Cross),13.686356889658407,14.55498645345096
2024-04-26,SUNTV.NS,BUY,616.2118883905212,8,Golden Cross,,15.000004791010388
2024-05-07,ASIANPAINT.NS,BUY,2887.1278491453986,1,Golden Cross,,14.420514120916101
2024-05-15,SYMPHONY.NS,SELL,982.0464242424317,-5,Target Reached (CWH Breakout),8.691308893730824,7.549778559130848
2024-05-16,HDFCAMC.NS,BUY,3644.7065835543344,1,Golden Cross,,14.484187521548344
2024-05-16,VGUARD.NS,SELL,364.49076204166147,-16,Target Reached (Golden Cross),16.52642586263861,13.21081173284479
2024-05-17,RELAXO.NS,BUY,822.6590015880214,6,Golden Cross,,15.000007832351049
2024-05-27,VINATIORGA.NS,BUY,1810.5300340866731,2,RHS Breakout,,4.458446455874759
2024-05-28,JCHAC.NS,SELL,1689.6594917651191,-4,Target Reached (Golden Cross),34.82709618545751,15.812213230050684
2024-05-29,WHIRLPOOL.NS,BUY,1519.337985910987,3,RHS Breakout,,16.67158446213223
2024-06-06,PIDILITIND.NS,SELL,1541.9310750035386,-3,Target Reached (Golden Cross),14.054371001775396,14.250442530199859
2024-06-06,GODREJCP.NS,SELL,1399.0654232962022,-4,Target Reached (CWH Breakout),23.083910118137688,16.438209388743953
2024-06-06,LALPATHLAB.NS,SELL,2743.030475865735,-2,Target Reached (Golden Cross),19.116968878877433,14.9999913906596
2024-06-06,SUNTV.NS,SELL,725.9256604628621,-8,Target Reached (Golden Cross),17.804552969417944,15.000004791010388
2024-06-11,INFY.NS,BUY,1462.583761115188,3,Golden Cross,,14.977010809221486
2024-06-13,WHIRLPOOL.NS,SELL,1808.558374677498,-3,Target Reached (RHS Breakout),19.03594798843234,16.67158446213223
2024-06-13,LALPATHLAB.NS,BUY,2762.48999910311,2,CWH Breakout,,15.336381557718406
2024-06-19,VINATIORGA.NS,SELL,1914.5485949823765,-2,Target Reached (RHS Breakout),5.745199413285391,4.458446455874759
2024-06-21,AKZOINDIA.NS,BUY,2687.607959815889,2,CWH Breakout,,14.437981026074501
2024-06-25,HCLTECH.NS,BUY,1379.5624967347835,4,Golden Cross,,14.99203265831364
2024-06-26,HDFCBANK.NS,SELL,842.5857736709851,-7,Target Reached (Golden Cross),17.60565061764515,15.628867276020733
2024-06-26,AXISBANK.NS,SELL,1279.0189479197,-4,Target Reached (Golden Cross),16.88868342768792,15.104925694486832
2024-06-26,KANSAINER.NS,BUY,270.6995313666877,20,Golden Cross,,14.937273919315913
2024-06-27,ICICIGI.NS,BUY,1778.241900219862,3,Golden Cross,,14.800835921687932
2024-06-27,FINEORG.NS,BUY,4917.845679503843,1,CWH Breakout,,17.650392532802712
2024-06-27,SFL.NS,BUY,923.0,6,Golden Cross,,14.744584402826211
2024-07-01,RELIANCE.NS,SELL,1551.0450507194453,-3,Target Reached (CWH Breakout),14.899991923665358,13.483798697968885
2024-07-03,ICICIPRULI.NS,BUY,623.8731900211827,9,RHS Breakout,,7.729785491525634
2024-07-18,INFY.NS,SELL,1676.0651821635772,-3,Target Reached (Golden Cross),14.596184281822893,14.977010809221486
2024-07-19,INFY.NS,BUY,1797.943081102566,3,CWH Breakout,,7.04134634165106
2024-07-24,ITC.NS,SELL,479.4585271631469,-12,Target Reached (Golden Cross),17.860716424050636,14.798626642896313
2024-07-24,TTKPRESTIG.NS,SELL,911.7456092196675,-6,Target Reached (Golden Cross),18.105866047732928,15.110012120962137
2024-07-25,ICICIPRULI.NS,SELL,689.0867141941225,-9,Target Reached (RHS Breakout),10.453009556433338,7.729785491525634
2024-07-25,HINDUNILVR.NS,BUY,2657.848609966012,2,CWH Breakout,,18.942102779550368
2024-07-26,ERIS.NS,SELL,1067.8871082974745,-5,Target Reached (Golden Cross),16.733690591577503,14.781245264532004
2024-07-31,FINEORG.NS,SELL,5777.497443167935,-1,Target Reached (CWH Breakout),17.480250900244222,17.650392532802712
2024-08-02,BATAINDIA.NS,BUY,1594.2103920197135,3,CWH Breakout,,21.16332174666172
2024-08-08,LALPATHLAB.NS,SELL,3240.8437591226616,-2,Target Reached (CWH Breakout),17.316035901482255,15.336381557718406
2024-08-12,AKZOINDIA.NS,SELL,3114.8336598077176,-2,Target Reached (CWH Breakout),15.896131667250128,14.437981026074501
2024-08-19,HCLTECH.NS,SELL,1606.289749759132,-4,Target Reached (Golden Cross),16.434721410663002,14.99203265831364
2024-08-20,MOTILALOFS.NS,BUY,634.052637359281,9,Golden Cross,,13.803204068687073
2024-08-21,ICICIGI.NS,SELL,2056.4026489359812,-3,Target Reached (Golden Cross),15.642458356297167,14.800835921687932
2024-08-21,HDFCAMC.NS,SELL,4221.772268854094,-1,Target Reached (Golden Cross),15.832980572526715,14.484187521548344
2024-08-21,NAM-INDIA.NS,BUY,690.3217973334017,8,Golden Cross,,15.70997713431278
2024-08-23,HDFCLIFE.NS,SELL,723.0015653968675,-7,Target Reached (Golden Cross),15.470733554246067,15.45636365652471
2024-08-27,MOTILALOFS.NS,SELL,761.0120341870157,-9,Target Reached (Golden Cross),20.023479021631164,13.803204068687073
2024-08-30,HCLTECH.NS,BUY,1690.0771989271898,3,CWH Breakout,,18.04311522911519
2024-09-03,HAVELLS.NS,BUY,1877.9835693656812,3,Golden Cross,,14.720107417877855
2024-09-10,ICICIBANK.NS,BUY,1227.4786328440832,5,Golden Cross,,14.818708713589348
2024-09-10,VIPIND.NS,BUY,506.6499938964844,12,Golden Cross,,14.262311251352019
2024-09-11,PIDILITIND.NS,BUY,1613.3599298135898,3,Golden Cross,,13.645991982472417
2024-09-12,ASIANPAINT.NS,SELL,3333.478067790309,-1,Target Reached (Golden Cross),15.46000876881957,14.420514120916101
2024-09-12,KANSAINER.NS,SELL,313.9622442852025,-20,Target Reached (Golden Cross),15.981820396988933,14.937273919315913
2024-09-13,HDFCBANK.NS,BUY,825.8371886289187,7,Golden Cross,,14.491635272916001
2024-09-13,JCHAC.NS,BUY,2049.015730957663,3,Golden Cross,,14.32106700487384
2024-09-16,RADICO.NS,SELL,2060.012392869091,-2,Target Reached (Golden Cross),17.42077956554904,15.565210119941009
2024-09-24,BANKBEES.NS,SELL,557.0,-10,Target Reached (Golden Cross),14.968623548788345,14.577485438042306
2024-09-24,AXISBANK.NS,BUY,1240.0401803989173,5,Golden Cross,,15.528164082232651
2024-09-25,VIPIND.NS,SELL,580.0,-12,Target Reached (Golden Cross),14.477451295203617,14.262311251352019
2024-09-26,BAJAJFINSV.NS,SELL,1939.0552664276236,-3,Target Reached (Golden Cross),14.865314967932147,14.180022140427312
2024-10-03,JCHAC.NS,SELL,2342.398527507423,-3,Target Reached (Golden Cross),14.318230559051855,14.32106700487384
2024-10-18,HDFCLIFE.NS,BUY,723.998774775468,8,Golden Cross,,15.015842065722133
2024-11-22,EICHERMOT.NS,BUY,4850.11083186819,1,Golden Cross,,14.276716641018874
2024-12-04,TCS.NS,BUY,4184.09655121775,1,Golden Cross,,14.712068364965344
2024-12-11,BANKBEES.NS,BUY,549.3099975585938,11,Golden Cross,,15.014656282101058
2024-12-11,FINEORG.NS,BUY,5188.7311308579165,1,Golden Cross,,14.774390333455308
2024-12-12,INFY.NS,SELL,1947.7942178498488,-3,Target Reached (CWH Breakout),8.3345873583155,7.04134634165106
2024-12-13,AVANTIFEED.NS,BUY,614.3147061568035,10,Golden Cross,,15.000009761376992
2024-12-23,INFY.NS,BUY,1903.270805285977,3,RHS Breakout,,11.874241409944304
2024-12-23,TEAMLEASE.NS,BUY,2941.0,2,Golden Cross,,14.792755656159674
2025-02-03,AVANTIFEED.NS,SELL,715.1878490045751,-10,Target Reached (Golden Cross),16.42043432084529,15.000009761376992
2025-02-03,GODREJCP.NS,BUY,1165.6188800219809,5,RHS Breakout,,15.608644997963847
2025-02-05,BAJFINANCE.NS,SELL,844.7872285257307,-6,Target Reached (Golden Cross),12.99829245084606,12.334920486465233
2025-02-06,RELIANCE.NS,BUY,1268.6331564996678,4,Golden Cross,,15.406294722018274
2025-03-21,JCHAC.NS,BUY,1771.2275253237121,3,Golden Cross,,15.000000892014473
2025-03-24,KOTAKBANK.NS,SELL,2097.5815924366493,-2,Target Reached (Golden Cross),17.198213616440988,14.44544336628349
2025-03-27,RADICO.NS,BUY,2330.620109774372,2,Golden Cross,,15.835146635761404
2025-04-21,EICHERMOT.NS,SELL,5622.594140171215,-1,Target Reached (Target Reached (Golden Cross)),15.927126927230987,14.276716641018874
2025-04-22,HDFCBANK.NS,SELL,954.5967457498784,-7,Target Reached (Golden Cross),15.591397298870788,14.491635272916001
2025-04-22,ITC.NS,BUY,418.24383985184426,14,Golden Cross,,14.163046351520794
2025-04-22,FINCABLES.NS,BUY,889.6157811547978,6,Golden Cross,,14.699061043120695
2025-04-24,ICICIBANK.NS,SELL,1405.4554343163697,-5,Target Reached (Golden Cross),14.499380820985214,14.818708713589348
2025-04-24,ERIS.NS,BUY,1490.0,4,RHS Breakout,,4.233780760626408
2025-05-28,ERIS.NS,SELL,1575.800048828125,-4,Target Reached (RHS Breakout),5.758392538800336,4.233780760626408
2025-06-05,RADICO.NS,SELL,2721.952333549838,-2,Target Reached (Golden Cross),16.79090565357522,15.835146635761404
2025-06-09,ICICIGI.NS,BUY,2014.9000244140625,3,CWH Breakout,,8.319628771516111
2025-06-11,DABUR.NS,BUY,485.1342817347684,12,Golden Cross,,14.89438798483937
2025-06-27,RELIANCE.NS,SELL,1493.4353527246628,-4,Target Reached (Golden Cross),17.720031600408028,15.406294722018274
2025-06-30,VGUARD.NS,BUY,386.30538498379684,16,RHS Breakout,,16.20681066522993
2025-07-10,NAM-INDIA.NS,SELL,807.7000122070312,-8,Target Reached (Golden Cross),17.003405560572194,15.70997713431278
2025-07-11,NAM-INDIA.NS,BUY,820.0,7,CWH Breakout,,31.916109410727895
